22:16:07.557 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.558 | INFO  |                           JockeyEndpoint: GET Jockey: /api/v1/jockeys/1
22:16:07.558 | INFO  |                            JockeyService: Get jockey with id 1
22:16:07.558 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:07.558 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.559 | ERROR |                                JockeyDao: Could not find jockey with id 1
22:16:07.559 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.586 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=-2000.0, created=null, updated=null}
22:16:07.586 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.586 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: -2000.0
22:16:07.586 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.586 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.586 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.597 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey2', skill=33.33, created=null, updated=null}
22:16:07.597 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.597 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey2, Skill: 33.33
22:16:07.597 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.597 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.613 | INFO  |                           JockeyEndpoint: GET ALL /api/v1/jockeys:
22:16:07.613 | INFO  |                            JockeyService: Get jockey/s with following optional parameters: 
22:16:07.613 | INFO  |                                JockeyDao: Get jockey/s with following optional parameters: 
22:16:07.613 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.626 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.633 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=-2000.0, created=null, updated=null}
22:16:07.633 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.633 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: -2000.0
22:16:07.634 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.634 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.634 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.643 | INFO  |                           JockeyEndpoint: GET ALL /api/v1/jockeys:
22:16:07.643 | INFO  |                            JockeyService: Get jockey/s with following optional parameters: 
22:16:07.643 | INFO  |                                JockeyDao: Get jockey/s with following optional parameters: 
22:16:07.643 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.646 | INFO  |                      DBConnectionManager: Close database connection
22:16:07.652 | INFO  |                           JockeyEndpoint: POST /api/v1/jockeys, Jockey: HorseDto{id=null, name='Jockey1', skill=-2000.0, created=null, updated=null}
22:16:07.652 | INFO  |                            JockeyService: Validate data of jockey to be inserted
22:16:07.652 | INFO  |                            JockeyService: Insert jockey with following data: Name: Jockey1, Skill: -2000.0
22:16:07.653 | INFO  |                                JockeyDao: Insert Jockey
22:16:07.653 | INFO  |                      DBConnectionManager: Get database connection
22:16:07.653 | INFO  |                      DBConnectionManager: Establish database connection
22:16:07.664 | INFO  |                           JockeyEndpoint: GET Jockey: /api/v1/jockeys/1
22:16:07.664 | INFO  |                            JockeyService: Get jockey with id 1
22:16:07.664 | INFO  |                                JockeyDao: Get jockey with id 1
22:16:07.664 | INFO  |                      DBConnectionManager: Get database connection
